Date,measles symptoms,measles rash,symptoms of measlesr,measles pictures
4/20/14,8,3,4,0
4/27/14,5,8,2,4
5/4/14,5,3,2,4
5/11/14,5,2,3,0
5/18/14,7,7,2,2
5/25/14,7,2,0,4
6/1/14,2,5,0,2
6/8/14,7,3,2,5
6/15/14,2,0,2,0
6/22/14,6,4,5,0
6/29/14,3,7,3,5
7/6/14,2,0,0,0
7/13/14,0,2,0,0
7/20/14,2,7,0,0
7/27/14,0,2,0,0
8/3/14,5,3,5,0
8/10/14,0,0,0,2
8/17/14,0,5,0,2
8/24/14,3,3,3,0
8/31/14,5,2,0,4
9/7/14,2,5,0,2
9/14/14,3,2,2,2
9/21/14,0,2,0,0
9/28/14,0,0,0,0
10/5/14,2,2,0,0
10/12/14,3,2,2,0
10/19/14,2,0,0,2
10/26/14,5,5,0,0
11/2/14,2,2,0,0
11/9/14,2,2,2,0
11/16/14,2,2,2,0
11/23/14,2,0,2,0
11/30/14,4,2,2,3
12/7/14,0,4,0,0
12/14/14,4,6,0,2
12/21/14,2,0,0,2
12/28/14,2,2,2,0
1/4/15,10,5,2,2
1/11/15,10,5,4,2
1/18/15,16,7,8,6
1/25/15,66,13,20,7
2/1/15,100,24,22,10
2/8/15,52,22,13,5
2/15/15,17,9,3,6
2/22/15,14,7,8,2
3/1/15,16,9,2,3
3/8/15,9,6,4,4
3/15/15,6,2,2,4
3/22/15,6,6,4,2
3/29/15,5,4,0,0
4/5/15,5,2,2,0
4/12/15,6,2,6,3
4/19/15,6,3,2,2
4/26/15,2,2,0,2
5/3/15,2,2,0,2
5/10/15,3,2,3,0
5/17/15,3,2,2,2
5/24/15,3,2,2,0
5/31/15,4,2,0,0
6/7/15,3,3,0,0
6/14/15,0,2,0,0
6/21/15,4,4,0,0
6/28/15,4,7,0,2
7/5/15,6,4,2,2
7/12/15,2,4,2,0
7/19/15,5,4,2,0
7/26/15,2,3,0,2
8/2/15,4,0,0,2
8/9/15,4,3,0,2
8/16/15,0,4,0,3
8/23/15,0,4,0,0
8/30/15,10,4,2,2
9/6/15,2,0,0,0
9/13/15,2,0,0,2
9/20/15,8,2,2,2
9/27/15,2,2,0,0
10/4/15,0,3,0,2
10/11/15,0,3,0,0
10/18/15,0,6,0,0
10/25/15,2,2,0,0
11/1/15,2,4,2,0
11/8/15,0,4,0,2
11/15/15,2,4,0,0
11/22/15,4,2,0,0
11/29/15,7,4,3,0
12/6/15,3,2,2,0
12/13/15,2,2,2,4
12/20/15,0,5,0,0
12/27/15,5,5,2,0
1/3/16,5,3,3,4
1/10/16,0,5,0,0
1/17/16,2,2,0,0
1/24/16,0,2,0,0
1/31/16,3,2,2,0
2/7/16,5,3,0,0
2/14/16,2,2,0,0
2/21/16,2,0,0,2
2/28/16,2,2,0,0
3/6/16,4,4,0,0
3/13/16,4,4,0,0
3/20/16,2,2,2,2
3/27/16,0,4,0,0
4/3/16,0,2,0,0
4/10/16,2,4,0,0
4/17/16,2,2,2,0
4/24/16,2,4,2,4
5/1/16,3,0,3,2
5/8/16,2,5,0,5
5/15/16,2,4,0,0
5/22/16,0,4,0,2
5/29/16,2,2,0,0
6/5/16,0,4,0,0
6/12/16,2,2,0,0
6/19/16,2,3,2,2
6/26/16,4,2,2,0
7/3/16,3,4,0,0
7/10/16,0,0,0,0
7/17/16,3,2,2,2
7/24/16,2,4,2,0
7/31/16,0,4,0,2
8/7/16,3,2,2,0
8/14/16,2,6,2,0
8/21/16,2,2,2,2
8/28/16,6,5,2,2
9/4/16,2,2,0,2
9/11/16,4,2,2,0
9/18/16,2,4,2,2
9/25/16,4,2,2,0
10/2/16,0,2,0,2
10/9/16,0,2,0,0
10/16/16,4,4,4,2
10/23/16,4,3,0,2
10/30/16,2,3,2,0
11/6/16,0,0,0,2
11/13/16,2,9,0,2
11/20/16,2,2,0,2
11/27/16,2,2,0,2
12/4/16,3,3,0,0
12/11/16,3,2,2,0
12/18/16,5,7,4,2
12/25/16,0,0,0,0
1/1/17,5,2,3,0
1/8/17,3,3,2,0
1/15/17,3,7,0,0
1/22/17,4,5,2,2
1/29/17,2,7,0,3
2/5/17,0,2,0,0
2/12/17,0,3,0,2
2/19/17,2,5,0,5
2/26/17,2,2,2,2
3/5/17,3,2,3,0
3/12/17,0,4,0,2
3/19/17,0,3,0,0
3/26/17,0,2,0,3
4/2/17,2,3,0,2
4/9/17,2,0,0,2
4/16/17,2,3,0,0
4/23/17,10,3,5,2
4/30/17,4,0,2,0
5/7/17,2,3,0,2
5/14/17,4,3,0,0
5/21/17,7,4,2,0
5/28/17,2,5,2,2
6/4/17,0,2,0,0
6/11/17,2,4,0,2
6/18/17,2,5,2,0
6/25/17,6,6,2,0
7/2/17,2,6,2,2
7/9/17,3,5,0,2
7/16/17,2,6,0,2
7/23/17,3,5,2,2
7/30/17,2,5,0,2
8/6/17,0,2,0,2
8/13/17,0,8,0,0
8/20/17,0,9,0,0
8/27/17,2,4,2,2
9/3/17,3,3,0,0
9/10/17,0,3,0,2
9/17/17,0,3,0,0
9/24/17,3,5,2,0
10/1/17,3,2,3,0
10/8/17,0,2,0,0
10/15/17,0,2,0,0
10/22/17,2,3,0,0
10/29/17,3,3,2,0
11/5/17,3,4,0,2
11/12/17,0,2,0,0
11/19/17,6,4,2,0
11/26/17,0,2,0,2
12/3/17,2,6,0,3
12/10/17,3,0,3,2
12/17/17,0,4,0,0
12/24/17,2,2,0,0
12/31/17,2,3,0,0
1/7/18,4,5,2,0
1/14/18,7,5,0,0
1/21/18,9,2,0,2
1/28/18,3,5,2,2
2/4/18,2,2,0,0
2/11/18,3,3,2,0
2/18/18,0,4,0,2
2/25/18,3,12,2,3
3/4/18,2,2,2,0
3/11/18,7,2,3,2
3/18/18,2,4,2,2
3/25/18,2,5,0,0
4/1/18,2,4,2,2
4/8/18,2,2,0,2
4/15/18,2,3,0,0
4/22/18,2,3,0,0
4/29/18,3,3,0,3
5/6/18,14,9,4,0
5/13/18,3,5,3,2
5/20/18,4,2,4,4
5/27/18,2,2,0,2
6/3/18,2,3,0,0
6/10/18,3,5,0,2
6/17/18,2,3,0,0
6/24/18,2,0,0,0
7/1/18,2,4,0,0
7/8/18,2,0,2,0
7/15/18,2,2,0,2
7/22/18,0,2,0,0
7/29/18,2,4,0,0
8/5/18,0,4,0,0
8/12/18,5,9,2,5
8/19/18,3,7,2,2
8/26/18,3,4,2,2
9/2/18,2,5,0,0
9/9/18,3,3,2,0
9/16/18,2,3,0,0
9/23/18,3,3,0,0
9/30/18,3,7,2,0
10/7/18,3,4,3,0
10/14/18,13,12,4,3
10/21/18,10,6,2,2
10/28/18,9,9,4,2
11/4/18,11,13,3,3
11/11/18,5,12,0,3
11/18/18,8,11,2,2
11/25/18,8,7,7,2
12/2/18,9,6,5,0
12/9/18,7,6,2,3
12/16/18,7,8,2,2
12/23/18,11,6,6,2
12/30/18,6,3,2,2
1/6/19,8,8,3,2
1/13/19,3,6,0,2
1/20/19,6,5,3,0
1/27/19,26,12,6,3
2/3/19,18,10,7,0
2/10/19,8,10,3,2
2/17/19,4,13,2,2
2/24/19,6,6,2,2
3/3/19,8,7,3,2
3/10/19,6,10,3,1
3/17/19,6,9,3,3
3/24/19,30,20,9,6
3/31/19,10,13,1,1
4/7/19,72,29,12,6
4/14/19,50,28,10,8